dataset,folder_url,source_file,member_file,kind,path,types,occurrences,position,read_status,example
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.dpvMinimum,number,6,,plateau,10.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.dpvStep,number,6,,plateau,500.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.inertiaRangeMaximum,number,6,,plateau,32000.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.inertiaRangeMinimum,number,6,,plateau,7000.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.inertiaRangeStep,number,6,,plateau,250.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.largestContingencySizeMaximum,number,6,,plateau,900.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.largestContingencySizeMinimum,number,6,,plateau,90.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.largestContingencySizeStep,number,6,,plateau,15.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.loadReliefValues,array,6,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.loadReliefValues[],number,6,,plateau,2.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.underlyingDemandMaximum,number,6,,plateau,4200.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.underlyingDemandMinimum,number,6,,plateau,1200.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.underlyingDemandStep,number,6,,plateau,200.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.frequencyLimits,object,6,,plateau,
